  run year index     sng      sdg      sdc       og       rt      pop     area    edges clusters    xmean    ymean      rad    slope  cl_size   diffus   spread    breed  slp_res  rd_grav   %urban    %road grw_rate leesalee  grw_pix 
    9 1991  2      12.00     1.00     0.00    49.50     5.75 35226.00 35226.00  3169.50   847.25   239.51   472.75   105.89     4.10    41.00     4.50     4.50     4.50    45.74    25.13    11.28     0.00     0.19     0.25    68.25 
    9 2013  3       0.25     0.00     0.00     9.75     1.00 35817.25 35817.25  3487.75   953.50   240.20   472.16   106.78     4.09    37.25     0.44     0.44     0.44    70.76    22.62    11.60     0.00     0.03     0.23    11.00 
   10 1978  1      57.00    25.50     0.00   193.50    39.75 33954.00 33954.00  2428.75   559.75   238.21   473.77   103.96     4.11    60.75    24.84    24.84    24.84    32.15    29.78    10.96     0.00     0.93     0.79   315.75 
   10 1991  2      47.00    22.25     0.00   440.00    23.25 39193.25 39193.25  5639.50  1523.25   248.38   466.96   111.57     4.11    28.75    19.07    19.07    19.07    33.37    29.66    12.27     0.00     1.26     0.26   532.50 
   10 2013  3      52.00    43.00     0.00  2194.00    21.25 68058.75 68058.75 16952.00  2814.50   281.15   448.45   142.82     4.28    27.75    20.87    20.87    20.87    37.50    30.42    19.64     0.00     2.32     0.27  2310.25 
   11 1978  1      80.00    51.00     0.00   258.00    48.25 34314.50 34314.50  2676.50   673.50   238.58   473.36   104.51     4.11    50.75    32.17    32.17    32.17    33.27    32.97    11.05     0.00     1.27     0.79   437.25 
   11 1991  2      92.25    64.00     0.00  1061.50    36.25 44783.00 44783.00  9129.00  2394.75   258.31   461.63   119.38     4.11    18.50    36.10    36.10    36.10    19.30    34.37    13.66     0.00     2.79     0.28  1254.00 
   11 2013  3     105.75    94.25     0.00  5579.50    31.00 118609.50 118609.50 35427.75  4681.50   327.00   427.28   193.92     4.51    24.75    44.94    44.94    44.94     1.00    38.83    32.26     0.00     4.88     0.33  5810.50 
   12 1978  1      94.00    62.50     0.00   300.00    58.50 34587.75 34587.75  2888.75   770.25   239.13   473.36   104.93     4.11    44.50    36.63    36.63    36.63    34.08    36.19    11.12     0.00     1.49     0.79   515.00 
   12 1991  2     105.75    85.25     0.00  1520.50    38.50 48402.25 48402.25 11225.25  2692.75   264.93   457.84   124.12     4.12    17.50    41.69    41.69    41.69    18.00    37.80    14.56     0.00     3.61     0.28  1750.00 
   12 2013  3     110.00   113.75     0.00  7887.50    31.75 153717.50 153717.50 43406.25  4678.75   344.00   416.40   221.18     4.62    32.50    51.89    51.89    51.89     1.00    43.09    41.02     0.00     5.30     0.34  8143.00 
   13 1978  1      99.75    74.75     0.00   342.25    61.75 34828.50 34828.50  3065.75   840.25   240.18   472.44   105.29     4.12    41.25    40.08    40.08    40.08    36.00    39.30    11.18     0.00     1.66     0.79   578.50 
   13 1991  2     114.00   102.50     0.00  1826.00    57.25 51127.00 51127.00 12724.00  2939.50   271.14   453.03   127.57     4.15    17.00    45.62    45.62    45.62    19.57    40.94    15.24     0.00     4.11     0.29  2099.75 
   13 2013  3     108.50   114.50     0.00  9376.75    26.00 181162.75 181162.75 48357.75  4474.25   353.72   411.64   240.12     4.69    40.00    56.78    56.78    56.78     1.00    46.89    47.87     0.00     5.32     0.34  9625.75 
   14 1978  1     103.50    89.00     0.00   391.75    69.50 35158.50 35158.50  3319.00   920.75   241.29   471.76   105.79     4.10    38.00    43.71    43.71    43.71    37.65    42.44    11.26     0.00     1.86     0.78   653.75 
   14 1991  2     134.75   125.75     0.00  2398.00    64.25 55203.75 55203.75 15100.75  3252.00   279.15   449.36   132.56     4.13    16.25    49.74    49.74    49.74    20.72    44.13    16.26     0.00     4.93     0.29  2722.75 
   14 2013  3     101.25   114.50     0.00 10495.25    10.00 213813.75 213813.75 50768.75  3936.25   363.10   406.20   260.87     4.70    53.75    61.91    61.91    61.91     1.00    50.96    56.02     0.00     5.01     0.34 10721.00 
